,tweet_id,timestamp,source,text,expanded_urls,name,faves,retweets,jpg_url,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,rating,dogtionary,multiple
0,8.92421E+17,2017-08-01 16:23:56 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,Phineas,35390,7477,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,orange,9.70486,FALSE,bagel,8.58511,FALSE,banana,7.611,FALSE,1.3,,
1,8.92177E+17,2017-08-01 00:17:27 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,Tilly,30638,5549,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,32.3581,TRUE,Pekinese,9.06465,TRUE,papillon,6.89569,TRUE,1.3,,
2,8.91815E+17,2017-07-31 00:18:03 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,Archie,23036,3671,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,71.6012,TRUE,malamute,7.8253,TRUE,kelpie,3.13789,TRUE,1.2,,
3,8.9169E+17,2017-07-30 15:58:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,Darla,38691,7650,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,paper_towel,17.0278,FALSE,Labrador_retriever,16.8086,TRUE,spatula,4.08359,FALSE,1.3,,
4,8.91328E+17,2017-07-29 16:00:24 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",Franklin,36968,8249,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,55.5712,TRUE,English_springer,22.577,TRUE,German_short-haired_pointer,17.5219,TRUE,1.2,,
5,8.91088E+17,2017-07-29 00:08:17 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,,18629,2759,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake_Bay_retriever,42.5595,TRUE,Irish_terrier,11.6317,TRUE,Indian_elephant,7.69022,FALSE,1.3,,
6,8.90972E+17,2017-07-28 16:27:12 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",Jax,10828,1791,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,34.1703,TRUE,Border_collie,19.9287,TRUE,ice_lolly,19.3548,FALSE,1.3,,
7,8.90729E+17,2017-07-28 00:22:40 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",,59637,16726,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,56.6142,TRUE,Eskimo_dog,17.8406,TRUE,Pembroke,7.65069,TRUE,1.3,,
8,8.90609E+17,2017-07-27 16:25:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,Zoey,25644,3815,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,48.7574,TRUE,Irish_setter,19.3054,TRUE,Chesapeake_Bay_retriever,11.8184,TRUE,1.3,,
9,8.9024E+17,2017-07-26 15:59:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,Cassie,29265,6490,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,51.1319,TRUE,Cardigan,45.1038,TRUE,Chihuahua,2.92482,TRUE,1.4,doggo,
